Id,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
1,Thibaut Courtois,BEL,GK,29,23,23,"2,070",23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Eder Militao,BRA,DF,24,22,22,"1,980",22,1,2,1,0,0,3,0,0.05,0.09,0.14,0.05,0.14,2,2,0.7,2.7,0.09,0.03,0.12,0.09,0.12
3,David Alaba,AUT,DF,29,21,21,"1,882",20.9,1,3,1,0,0,2,0,0.05,0.14,0.19,0.05,0.19,0.6,0.6,2.1,2.7,0.03,0.1,0.13,0.03,0.13
4,Karim Benzema,FRA,FW,34,21,21,"1,703",18.9,17,7,15,2,3,0,0,0.9,0.37,1.27,0.79,1.16,11.8,9.6,5.7,15.3,0.63,0.3,0.93,0.51,0.81
5,Vinicius Junior,BRA,"FW,MF",21,21,19,"1,688",18.8,12,5,12,0,0,5,0,0.64,0.27,0.91,0.64,0.91,8.4,8.4,3.3,11.7,0.45,0.17,0.62,0.45,0.62
6,Casemiro,BRA,MF,29,20,19,"1,670",18.6,0,3,0,0,0,7,0,0,0.16,0.16,0,0.16,1.6,1.6,1.7,3.2,0.08,0.09,0.17,0.08,0.17
7,Toni Kroos,GER,MF,32,16,16,"1,345",14.9,1,3,1,0,0,2,0,0.07,0.2,0.27,0.07,0.27,1.7,1.7,2.3,4.1,0.12,0.16,0.27,0.12,0.27
8,Luka Modri,CRO,MF,36,16,16,"1,271",14.1,1,4,0,1,1,1,0,0.07,0.28,0.35,0,0.28,2.1,1.4,2.5,3.8,0.15,0.17,0.32,0.1,0.27
9,Ferland Mendy,FRA,DF,26,14,13,"1,119",12.4,1,1,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,0.8,0.8,1.2,2,0.07,0.1,0.16,0.07,0.16
10,Lucas Vazquez,ESP,DF,30,17,11,"1,045",11.6,1,0,1,0,0,0,0,0.09,0,0.09,0.09,0.09,0.9,0.9,1.3,2.2,0.08,0.11,0.19,0.08,0.19
11,Marco Asensio,ESP,"FW,MF",26,18,11,994,11,6,0,6,0,0,1,0,0.54,0,0.54,0.54,0.54,5,5,1.4,6.4,0.46,0.12,0.58,0.46,0.58
12,Federico Valverde,URU,"MF,DF",23,18,10,988,11,0,1,0,0,0,0,0,0,0.09,0.09,0,0.09,0.4,0.4,0.9,1.3,0.03,0.09,0.12,0.03,0.12
13,Dani Carvajal,ESP,DF,30,13,10,854,9.5,1,0,1,0,0,1,0,0.11,0,0.11,0.11,0.11,0.4,0.4,0.8,1.2,0.04,0.08,0.12,0.04,0.12
14,Nacho,ESP,DF,32,16,9,842,9.4,2,0,2,0,0,3,0,0.21,0,0.21,0.21,0.21,0.8,0.8,0.2,1,0.09,0.02,0.11,0.09,0.11
15,Eden Hazard,BEL,"FW,MF",31,15,7,675,7.5,0,1,0,0,0,2,0,0,0.13,0.13,0,0.13,1.2,1.2,2.1,3.3,0.16,0.28,0.44,0.16,0.44
16,Rodrygo,BRA,FW,21,17,6,607,6.7,0,1,0,0,0,4,0,0,0.15,0.15,0,0.15,1.4,1.4,0.4,1.8,0.18,0.06,0.24,0.18,0.24
17,Eduardo Camavinga,FRA,MF,19,14,5,516,5.7,1,0,1,0,0,4,0,0.17,0,0.17,0.17,0.17,0.8,0.8,0.5,1.3,0.14,0.07,0.21,0.14,0.21
18,Miguel Gutierrez,ESP,DF,20,3,3,260,2.9,0,1,0,0,0,1,0,0,0.35,0.35,0,0.35,0,0,0.5,0.5,0,0.17,0.17,0,0.17
19,Gareth Bale,WAL,FW,32,3,3,190,2.1,1,0,1,0,0,1,0,0.47,0,0.47,0.47,0.47,0.4,0.4,0,0.4,0.17,0.02,0.19,0.17,0.19
20,Isco,ESP,"MF,FW",29,10,2,199,2.2,1,0,1,0,0,1,0,0.45,0,0.45,0.45,0.45,0.5,0.5,0.4,0.9,0.18,0.12,0.3,0.18,0.3
21,Marcelo,BRA,DF,33,4,1,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.03,0.03,0.06,0.03,0.06
22,Mariano,DOM,FW,28,3,1,120,1.3,0,1,0,0,0,0,0,0,0.75,0.75,0,0.75,0.4,0.4,0.4,0.8,0.31,0.28,0.59,0.31,0.59
23,Luka Jovi,SRB,FW,24,12,0,276,3.1,1,2,1,0,0,0,0,0.33,0.65,0.98,0.33,0.98,1.5,1.5,0.8,2.3,0.49,0.26,0.75,0.49,0.75
24,Blanco,ESP,MF,21,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Dani Ceballos,ESP,MF,25,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0.06
26,Peter Gonzalez,DOM,"DF,FW",19,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,1.66,2.15,3.81,1.66,3.81
27,Sergio Santos,ESP,DF,21,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0,0.32
28,Jesus Vallejo,ESP,DF,25,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Toni Fuidias,ESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,
30,Latasa,ESP,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,,,
31,Luis Lopez,ESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,
32,Andriy Lunin,UKR,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,,,
33,Alvaro Odriozola,ESP,DF,26,0,0,,,,,,,,,,,,,,,,,,,,,,,
34,Diego Pineiro,ESP,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,
35,Rafa,ESP,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,
