,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer
3467,Luis SuÃ¡rez,Centre-Forward,27,Liverpool,EPL,Barcelona,La_liga,2014,52.0,81.72
3468,James RodrÃ­guez,Attacking Midfield,23,Monaco,Ligue_1,Real Madrid,La_liga,2014,60.0,75.0
3469,Ãngel Di MarÃ­a,Right Winger,26,Real Madrid,La_liga,Manchester United,EPL,2014,50.0,75.0
3470,David Luiz,Centre-Back,27,Chelsea,EPL,Paris Saint Germain,Ligue_1,2014,26.0,49.5
3471,Alexis SÃ¡nchez,Left Winger,25,Barcelona,La_liga,Arsenal,EPL,2014,30.0,42.5
3472,Diego Costa,Centre-Forward,25,Atletico Madrid,La_liga,Chelsea,EPL,2014,35.0,38.0
3473,Luke Shaw,Left-Back,18,Southampton,EPL,Manchester United,EPL,2014,13.0,37.5
3474,Ander Herrera,Central Midfield,24,Athletic Club,La_liga,Manchester United,EPL,2014,20.0,36.0
3475,Romelu Lukaku,Centre-Forward,21,Chelsea,EPL,Everton,EPL,2014,25.0,35.36
3476,Cesc FÃ bregas,Central Midfield,27,Barcelona,La_liga,Chelsea,EPL,2014,50.0,33.0
3477,Wilfried Bony,Centre-Forward,26,Swansea,EPL,Manchester City,EPL,2014,17.0,32.3
3478,AndrÃ© SchÃ¼rrle,Left Winger,24,Chelsea,EPL,Wolfsburg,Bundesliga,2014,23.0,32.0
3479,Juan Cuadrado,Right Winger,26,Fiorentina,Serie_A,Chelsea,EPL,2014,32.0,31.0
3480,Adam Lallana,Attacking Midfield,26,Southampton,EPL,Liverpool,EPL,2014,7.5,31.0
3481,Eliaquim Mangala,Centre-Back,23,FC Porto,Liga NOS,Manchester City,EPL,2014,28.0,30.5
3482,Antoine Griezmann,Centre-Forward,23,Real Sociedad,La_liga,Atletico Madrid,La_liga,2014,30.0,30.0
3483,Medhi Benatia,Centre-Back,27,Roma,Serie_A,Bayern Munich,Bundesliga,2014,28.0,28.0
3484,Dejan Lovren,Centre-Back,25,Southampton,EPL,Liverpool,EPL,2014,12.0,25.3
3485,Toni Kroos,Central Midfield,24,Bayern Munich,Bundesliga,Real Madrid,La_liga,2014,42.0,25.0
3486,Enzo PÃ©rez,Central Midfield,28,Benfica,Liga NOS,Valencia,La_liga,2014,23.0,25.0
3487,Lazar Markovic,Right Winger,20,Benfica,Liga NOS,Liverpool,EPL,2014,10.0,25.0
3488,Juan Iturbe,Right Winger,21,Verona,Serie_A,Roma,Serie_A,2014,20.0,24.5
3489,Sadio ManÃ©,Left Winger,22,RB Salzburg,Bundesliga,Southampton,EPL,2014,7.5,23.0
3490,Mario Mandzukic,Left Winger,28,Bayern Munich,Bundesliga,Atletico Madrid,La_liga,2014,30.0,22.0
3491,Calum Chambers,Centre-Back,19,Southampton,EPL,Arsenal,EPL,2014,2.0,20.23
3492,Mario Balotelli,Centre-Forward,24,AC Milan,Serie_A,Liverpool,EPL,2014,27.0,20.0
3493,Danny Welbeck,Centre-Forward,23,Manchester United,EPL,Arsenal,EPL,2014,17.0,20.0
3494,Filipe LuÃ­s,Left-Back,28,Atletico Madrid,La_liga,Chelsea,EPL,2014,15.0,20.0
3495,JÃ©rÃ©my Mathieu,Centre-Back,30,Valencia,La_liga,Barcelona,La_liga,2014,12.0,20.0
3496,Marcos Rojo,Centre-Back,24,Sporting CP,Liga NOS,Manchester United,EPL,2014,12.0,20.0
3497,Ãlvaro Morata,Centre-Forward,21,Real Madrid,La_liga,Juventus,Serie_A,2014,12.0,20.0
3498,Thomas Vermaelen,Centre-Back,28,Arsenal,EPL,Barcelona,La_liga,2014,15.0,19.0
3499,Ciro Immobile,Centre-Forward,24,Torino,Serie_A,Borussia Dortmund,Bundesliga,2014,18.0,18.5
3500,Ivan Rakitic,Central Midfield,26,Sevilla,La_liga,Barcelona,La_liga,2014,20.0,18.0
3501,Alberto Moreno,Left-Back,22,Sevilla,La_liga,Liverpool,EPL,2014,15.0,18.0
3502,Daley Blind,Left-Back,24,AFC Ajax,Eredivisie,Manchester United,EPL,2014,12.0,17.5
3504,Jan Oblak,Goalkeeper,21,Benfica,Liga NOS,Atletico Madrid,La_liga,2014,4.0,16.0
3505,Bernardo Silva,Right Winger,20,Benfica,Liga NOS,Monaco,Ligue_1,2014,3.5,15.75
3506,Juan Iturbe,Right Winger,21,FC Porto,Liga NOS,Verona,Serie_A,2014,20.0,15.0
3507,Alessio Cerci,Right Winger,27,Torino,Serie_A,Atletico Madrid,La_liga,2014,18.0,15.0
3508,Radja Nainggolan,Central Midfield,26,Cagliari,Serie_A,Roma,Serie_A,2014,18.0,15.0
3509,Fernando,Defensive Midfield,26,FC Porto,Liga NOS,Manchester City,EPL,2014,17.5,15.0
3512,Mathieu Debuchy,Right-Back,28,Newcastle United,EPL,Arsenal,EPL,2014,10.0,15.0
3513,Gabriel Paulista,Centre-Back,24,Villarreal,La_liga,Arsenal,EPL,2014,8.0,15.0
3514,Enner Valencia,Centre-Forward,24,CF Pachuca,Liga MX Clausura,West Ham,EPL,2014,1.6,15.0
3515,Shane Long,Centre-Forward,27,Hull,EPL,Southampton,EPL,2014,6.0,14.9
3516,Hakan Calhanoglu,Left Winger,20,Hamburger SV,Bundesliga,Bayer Leverkusen,Bundesliga,2014,7.0,14.5
3517,Seydou Doumbia,Centre-Forward,27,CSKA Moscow,Premier Liga,Roma,Serie_A,2014,25.0,14.4
3518,Dusan Tadic,Attacking Midfield,25,FC Twente,Eredivisie,Southampton,EPL,2014,10.0,14.0
3519,Ryan Bertrand,Left-Back,25,Chelsea,EPL,Southampton,EPL,2014,6.0,13.34
3520,LoÃ¯c RÃ©my,Centre-Forward,27,Queens Park Rangers,EPL,Chelsea,EPL,2014,12.0,13.2
3521,Lucas Silva,Central Midfield,21,Cruzeiro,SÃ©rie A,Real Madrid,La_liga,2014,12.0,13.0
3522,Aymen Abdennour,Centre-Back,24,Toulouse,Ligue_1,Monaco,Ligue_1,2014,6.0,13.0
3523,Konstantinos Manolas,Centre-Back,23,Olympiacos,Super League,Roma,Serie_A,2014,6.0,13.0
3524,Ben Davies,Left-Back,21,Swansea,EPL,Tottenham,EPL,2014,5.5,12.65
3525,Brown Ideye,Centre-Forward,25,Dynamo Kyiv,Premier Liga,West Bromwich Albion,EPL,2014,7.0,12.63
3526,Divock Origi,Centre-Forward,19,Lille,Ligue_1,Liverpool,EPL,2014,1.0,12.63
3527,Jack Rodwell,Defensive Midfield,23,Manchester City,EPL,Sunderland,EPL,2014,12.0,12.6
3528,Manolo Gabbiadini,Centre-Forward,23,Sampdoria,Serie_A,Napoli,Serie_A,2014,12.0,12.5
3529,Fraser Forster,Goalkeeper,26,Celtic,Premiership,Southampton,EPL,2014,4.5,12.5
3530,Marc-AndrÃ© ter Stegen,Goalkeeper,22,Borussia M.Gladbach,Bundesliga,Barcelona,La_liga,2014,20.0,12.0
3531,NicolÃ¡s Otamendi,Centre-Back,26,FC Porto,Liga NOS,Valencia,La_liga,2014,12.0,12.0
3532,Kevin Kampl,Central Midfield,24,RB Salzburg,Bundesliga,Borussia Dortmund,Bundesliga,2014,9.0,12.0
3533,Emre Can,Defensive Midfield,20,Bayer Leverkusen,Bundesliga,Liverpool,EPL,2014,7.5,12.0
3534,Abel HernÃ¡ndez,Centre-Forward,24,Palermo,Serie_A,Hull,EPL,2014,5.0,12.0
3535,Claudio Bravo,Goalkeeper,31,Real Sociedad,La_liga,Barcelona,La_liga,2014,4.0,12.0
3541,Graziano PellÃ¨,Centre-Forward,29,Feyenoord,Eredivisie,Southampton,EPL,2014,6.5,11.0
3542,Steven Caulker,Centre-Back,22,Cardiff,Championship,Queens Park Rangers,EPL,2014,7.5,10.75
3543,RaÃºl JimÃ©nez,Centre-Forward,23,AmÃ©rica,Liga MX Clausura,Atletico Madrid,La_liga,2014,10.0,10.5
